gene_orf	gene_symbol
YDR323C	PEP7
YNL325C	FIG4
YCL063W	VAC17
YEL013W	VAC8
YPL234C	VMA11
YER072W	VTC1
YJL012C	VTC4
YMR077C	VPS20
YKL041W	VPS24
YCL008C	STP22
YPL065W	VPS28
YLR119W	SRN2
YKL002W	DID4
YJL053W	PEP8
YER087C-B	SBH1
YDR325W	YCG1
YLR272C	YCS4
YGR172C	YIP1
YOR064C	YNG1
YNL225C	CNM67
YNL304W	YPT11
YBR131W	CCZ1
YOL127W	RPL25
YER017C	AFG3
YMR089C	YTA12
YLR394W	CST9
YDR004W	RAD57
YDR285W	ZIP1
YPL255W	BBP1
YLR078C	BOS1
YKR086W	PRP16
YGL124C	MON1
YOR176W	HEM15
YLL003W	SFI1
YLR318W	EST2
YKL068W	NUP100
YBL071W-A	KTI11
YKL191W	DPH2
YIL103W	DPH1
YLR203C	MSS51
Q0045	COX1
YIL149C	MLP2
YJL039C	NUP192
YER107C	GLE2
YML103C	NUP188
YOR349W	CIN1
YFR034C	PHO4
YDR180W	SCC2
YJL085W	EXO70
YCR067C	SED4
YHL031C	GOS1
YKL006C-A	SFT1
YDR425W	SNX41
YPL124W	SPC29
YKL020C	SPT23
YLR181C	VTA1
YDR486C	VPS60
YNL044W	YIP3
YER050C	RSM18
YLR256W	HAP1
YPL248C	GAL4
YMR307W	GAS1
YKL073W	LHS1
YNL121C	TOM70
YIL065C	FIS1
YER154W	OXA1
YGR181W	TIM13
YJR135W-A	TIM8
YNL055C	POR1
YKL119C	VPH2
YML097C	VPS9
YER075C	PTP3
YNL020C	ARK1
YPR122W	AXL1
YPL218W	SAR1
YDR168W	CDC37
YDR309C	GIC2
YFL048C	EMP47
YBR101C	FES1
YMR232W	FUS2
YEL009C	GCN4
YDR358W	GGA1
YER040W	GLN3
YLR452C	SST2
YAL056W	GPB2
YKL109W	HAP4
YOR298C-A	MBF1
YPR019W	MCM4
YDR043C	NRG1
YER009W	NTF2
YBL079W	NUP170
YNL289W	PCL1
YML016C	PPZ1
YOR134W	BAG7
YDR389W	SAC7
YML043C	RRN11
YGR191W	HIP1
YER118C	SHO1
YKR039W	GAP1
YOL031C	SIL1
YOR109W	INP53
YMR017W	SPO20
YJL004C	SYS1
YKL034W	TUL1
YER005W	YND1
YPR028W	YOP1
YJR134C	SGM1
YNL297C	MON2
YBR164C	ARL1
YPL057C	SUR1
YBR036C	CSG2
YBR161W	CSH1
YJL106W	IME2
YDR456W	NHX1
YBL103C	RTG3
YOR344C	TYE7
YIL016W	SNL1
YDL229W	SSB1
YKL092C	BUD2
YDL226C	GCS1
YOR070C	GYP1
YNR026C	SEC12
YNL272C	SEC2
YLL017W	YLL017W
YNL281W	HCH1
YDL235C	YPD1
YIL147C	SLN1
YJR060W	CBF1
YMR043W	MCM1
YBL021C	HAP3
YCR092C	MSH3
YDL102W	POL3
YJR006W	POL31
YMR038C	CCS1
YLR131C	ACE2
YNL039W	BDP1
YIL159W	BNR1
YKL079W	SMY1
YNL188W	KAR1
YBR274W	CHK1
YKL074C	MUD2
YMR180C	CTL1
YGR140W	CBF2
YDR192C	NUP42
YGL016W	KAP122
YIR033W	MGA2
YNR049C	MSO1
YOR156C	NFI1
YPR052C	NHP6A
YOL043C	NTG2
YHR071W	PCL5
YGL205W	POX1
YGL163C	RAD54
YMR277W	FCP1
YIL118W	RHO3
YOR140W	SFL1
YJL127C	SPT10
YMR179W	SPT21
YGR185C	TYS1
YGL162W	SUT1
YLR176C	RFX1
YFL037W	TUB2
YOR265W	RBL2
YDR173C	ARG82
YMR042W	ARG80
YOR231W	MKK1
YLR177W	YLR177W
YBL085W	BOI1
YGR142W	BTN2
YCL014W	BUD3
YMR280C	CAT8
YIR017C	MET28
YCL051W	LRE1
YOL036W	YOL036W
YFL028C	CAF16
YOR127W	RGA1
YBR023C	CHS3
YBL061C	SKT5
YOR129C	AFI1
YBL031W	SHE1
YDL189W	RBS1
YMR124W	EPO1
YOR371C	GPB1
YJR084W	YJR084W
YKR034W	DAL80
YBR073W	RDH54
YNL186W	UBP10
YGR060W	ERG25
YGL001C	ERG26
YMR219W	ESC1
YDR363W	ESC2
YBR020W	GAL1
YIL045W	PIG2
YGL073W	HSF1
YJL073W	JEM1
YOR028C	CIN5
YLR265C	NEJ1
YDL240W	LRG1
YPR154W	PIN3
YCL034W	LSB5
YBR003W	COQ1
YIL173W	VTH1
YGL096W	TOS8
YHR034C	PIH1
YHR035W	NEL1
YNL050C	YNL050C
YMR021C	MAC1
YNL307C	MCK1
YAL038W	CDC19
YOL126C	MDH2
YJR021C	REC107
YER044C-A	MEI4
YPL038W	MET31
YDR253C	MET32
YLR332W	MID2
YOL109W	ZEO1
YDL194W	SNF3
YLR457C	NBP1
YBR034C	HMT1
YGR178C	PBP1
YBR233W	PBP2
YGR241C	YAP1802
YOR153W	PDR5
YGR222W	PET54
YER153C	PET122
YOL147C	PEX11
YPL112C	PEX25
YHR150W	PEX28
YBR168W	PEX32
YOR122C	PFY1
YBR173C	UMP1
YPL122C	TFB2
YJL173C	RFA3
YMR133W	REC114
YNL090W	RHO2
YPL089C	RLM1
YOR294W	RRS1
YIR011C	STS1
YFL036W	RPO41
YMR228W	MTF1
YHR031C	RRM3
YMR192W	GYL1
YMR287C	DSS1
YGL060W	YBP2
YLR301W	HRI1
YMR059W	SEN15
YAR008W	SEN34
YLR105C	SEN2
YPL083C	SEN54
YNL049C	SFB2
YNL257C	SIP3
YLR313C	SPH1
YER103W	SSA4
YCL029C	BIK1
YHR174W	ENO2
YLR309C	IMH1
YGR249W	MGA1
YCR028C-A	RIM1
YIR015W	RPR2
YOR193W	PEX27
YDL053C	PBP4
YLR393W	ATP10
Q0085	ATP6
YBL099W	ATP1
Q0130	OLI1
YPL078C	ATP4
Q0080	ATP8
YLR024C	UBR2
YHL027W	RIM101
YOR275C	RIM20
YOR284W	HUA2
YER124C	DSE1
YOR188W	MSB1
YNL293W	MSB3
YOL112W	MSB4
YLR144C	ACF2
YJR083C	ACF4
YCR059C	YIH1
YCL027W	FUS1
YLR330W	CHS5
YHR042W	NCP1
YOR032C	HMS1
YIR038C	GTT1
YLL060C	GTT2
YKL117W	SBA1
YML099C	ARG81
YOR195W	SLK19
YOL067C	RTG1
YAL051W	OAF1
YOR363C	PIP2
YPL167C	REV3
YIL139C	REV7
YLR178C	TFS1
YOL081W	IRA2
YML027W	YOX1
YBR275C	RIF1
YLR141W	RRN5
YDL020C	RPN4
YPL180W	TCO89
YCR097W	HMRA1
YCR039C	MATALPHA2
YGR217W	CCH1
YNL291C	MID1
YMR260C	TIF11
YIL031W	ULP2
YKR010C	TOF2
YOR281C	PLP2
YDL227C	HO
YPR007C	REC8
YJR032W	CPR7
YJL058C	BIT61
YDR264C	AKR1
YDR440W	DOT1
YNL031C	HHT2
YBR089C-A	NHP6B
YBL019W	APN2
YDR419W	RAD30
YPL116W	HOS3
YKL185W	ASH1
YLL009C	COX17
YMR048W	CSM3
YBR239C	ERT1
YNL238W	KEX2
YJL177W	RPL17B
YDR485C	VPS72
YAL011W	SWC3
YPR193C	HPA2
YDL161W	ENT1
YLR206W	ENT2
YGL008C	PMA1
YLR259C	HSP60
YDL044C	MTF2
YKL112W	ABF1
YNL076W	MKS1
YOL013C	HRD1
YBR290W	BSD2
YDR382W	RPP2B
YPL220W	RPL1A
YNL145W	MFA2
YDL184C	RPL41A
YJL104W	PAM16
YML054C	CYB2
YJR075W	HOC1
YGL164C	YRB30
YLR360W	VPS38
YLR240W	VPS34
YBR097W	VPS15
Q0275	COX3
YDL058W	USO1
YDR129C	SAC6
YDL120W	YFH1
YNL223W	ATG4
YFL016C	MDJ1
YBR258C	SHG1
YPL008W	CHL1
YFR027W	ECO1
YDR363W-A	SEM1
YLR094C	GIS3
YFR019W	FAB1
YCL043C	PDI1
YML130C	ERO1
YLR116W	MSL5
YDL095W	PMT1
YAL023C	PMT2
YJR143C	PMT4
YGL006W	PMC1
YDR023W	SES1
YNL037C	IDH1
YOR136W	IDH2
YGR080W	TWF1
YMR012W	CLU1
YPL147W	PXA1
YKL188C	PXA2
YHR072W	ERG7
YHR195W	NVJ1
YEL005C	VAB2
YLR150W	STM1
YNL087W	TCB2
YOR086C	TCB1
YML072C	TCB3
YFL031W	HAC1
YKR035W-A	DID2
YDR069C	DOA4
YLR188W	MDL1
YDR153C	ENT5
YGL103W	RPL28
YAL042W	ERV46
YPR080W	TEF1
YNL230C	ELA1
YMR054W	STV1
YLL042C	ATG10
YGR132C	PHB1
YGR231C	PHB2
YER032W	FIR1
YDR320C	SWA2
YER044C	ERG28
YOR065W	CYT1
YKR066C	CCP1
YNL210W	MER1
YIR021W	MRS1
YGR085C	RPL11B
YBL068W	PRS4
YMR067C	UBX4
YBR273C	UBX7
YML055W	SPC2
YOR295W	UAF30
YKR084C	HBS1
YNL001W	DOM34
YLR080W	EMP46
YEL027W	VMA3
YHR026W	VMA16
YLR246W	ERF2
YOL110W	SHR5
YGR214W	RPS0A
YKR057W	RPS21A
YPL198W	RPL7B
YPR094W	RDS3
YNR038W	DBP6
YJR070C	LIA1
YHR068W	DYS1
YNL329C	PEX6
YOL044W	PEX15
YKL154W	SRP102
YDR292C	SRP101
YDR231C	COX20
YIR012W	SQT1
YEL022W	GEA2
YKL048C	ELM1
YDR245W	MNN10
YML132W	COS3
YLR138W	NHA1
YML129C	COX14
YJL093C	TOK1
YKR091W	SRL3
YPL014W	YPL014W
YPL267W	ACM1
YML013W	UBX2
YKR001C	VPS1
YDL178W	DLD2
YPL047W	SGF11
YPL155C	KIP2
YGR014W	MSB2
YLR190W	MMR1
YOR083W	WHI5
YMR301C	ATM1
YDL091C	UBX3
YDR330W	UBX5
YOR324C	FRT1
YHR083W	SAM35
YMR060C	SAM37
YNL026W	SAM50
YPR118W	MRI1
YIL019W	FAF1
YIL002C	INP51
YKR019C	IRS4
YHR178W	STB5
YOR162C	YRR1
YDR423C	CAD1
YMR243C	ZRC1
YJR082C	EAF6
YGL127C	SOH1
YLL018C-A	COX19
YPR073C	LTP1
YOR330C	MIP1
YDR077W	SED1
YNL136W	EAF7
YML008C	ERG6
YJR041C	URB2
YOR301W	RAX1
YLR353W	BUD8
YGR041W	BUD9
YDR079C-A	TFB5
YER158C	YER158C
YJR056C	YJR056C
YDL146W	LDB17
YAL031C	GIP4
YKL105C	SEG2
YPR008W	HAA1
YNL152W	INN1
YOR247W	SRL1
YML035C	AMD1
YLR064W	PER33
YMR071C	TVP18
YOR197W	MCA1
YIL108W	YIL108W
YIR004W	DJP1
YAL062W	GDH3
YLR223C	IFH1
YDR223W	CRF1
YMR237W	BCH1
YHR127W	YHR127W
YHR194W	MDM31
YOR147W	MDM32
YPL239W	YAR1
YEL065W	SIT1
YOR191W	ULS1
YHR134W	WSS1
YKL032C	IXR1
YGL026C	TRP5
YNL042W	BOP3
YLR350W	ORM2
YMR111C	YMR111C
Q0115	BI3
YMR076C	PDS5
YBR172C	SMY2
YDL181W	INH1
YKR054C	DYN1
YHL010C	ETP1
YGR089W	NNF2
YKL179C	COY1
YIL138C	TPM2
YDR379W	RGA2
YJL113W	YJL113W
YEL043W	YEL043W
YEL061C	CIN8
YGR130C	YGR130C
YJR035W	RAD26
YMR065W	KAR5
YGR059W	SPR3
YFR029W	PTR3
YHR015W	MIP6
YDR322C-A	TIM11
YNL069C	RPL16B
YDR377W	ATP17
YFR046C	CNN1
YLR249W	YEF3
YLR109W	AHP1
YDR298C	ATP5
YFR022W	ROG3
YKL035W	UGP1
YPL091W	GLR1
YBR072W	HSP26
YIR018W	YAP5
YDR520C	URC2
YIL122W	POG1
YLR450W	HMG2
YPL125W	KAP120
YMR258C	ROY1
YPL249C-A	RPL36B
YKL016C	ATP7
YML081C-A	ATP18
YPR020W	ATP20
YJL180C	ATP12
YNL315C	ATP11
YJR121W	ATP2
YNR001C	CIT1
YKL085W	MDH1
YJL100W	LSB6
YCL009C	ILV6
YMR108W	ILV2
YLR027C	AAT2
YNL259C	ATX1
YDR270W	CCC2
YLR210W	CLB4
YML042W	CAT2
YCR060W	TAH1
YAR015W	ADE1
YDR300C	PRO1
YDR533C	HSP31
YJL008C	CCT8
YJL172W	CPS1
YNL096C	RPS7B
YPR201W	ARR3
YBR106W	PHO88
YCR012W	PGK1
YDL199C	YDL199C
YER091C	MET6
YFL011W	HXT10
YIL148W	RPL40A
YMR070W	MOT3
YKL138C-A	HSK3
YBR110W	ALG1
YOL096C	COQ3
YDR204W	COQ4
YLR455W	PDP3
YKL212W	SAC1
YPR183W	DPM1
YOR124C	UBP2
YPL024W	RMI1
YGR033C	TIM21
YBL102W	SFT2
YNR039C	ZRG17
YDR205W	MSC2
YER033C	ZRG8
YGR175C	ERG1
YHR007C	ERG11
YMR202W	ERG2
YLR056W	ERG3
YDR233C	RTN1
YDL204W	RTN2
YEL054C	RPL12A
YDR418W	RPL12B
YGR105W	VMA21
YMR204C	INP1
YLR440C	SEC39
YPL215W	CBP3
YGR174C	CBP4
YDL143W	CCT4
YLL018C	DPS1
YHR183W	GND1
YPR033C	HTS1
YDL131W	LYS21
YOL120C	RPL18A
YKL160W	ELF1
YDL080C	THI3
YBR240C	THI2
YNL206C	RTT106
YOR091W	TMA46
YER019C-A	SBH2
YKR065C	PAM17
YOR346W	REV1
YGR209C	TRX2
YPR167C	MET16
YER042W	MXR1
YJR099W	YUH1
YLR207W	HRD3
YPL187W	MF(ALPHA)1
YPL019C	VTC3
YFL004W	VTC2
YJL035C	TAD2
YLR316C	TAD3
YDL078C	MDH3
YMR164C	MSS11
YER109C	FLO8
YNL310C	ZIM17
YHR124W	NDT80
YJL084C	ALY2
YKL126W	YPK1
YMR216C	SKY1
YOR347C	PYK2
YDL122W	UBP1
YKR094C	RPL40B
YLR167W	RPS31
YOL045W	PSK2
YER041W	YEN1
YMR165C	PAH1
YHR205W	SCH9
YMR104C	YPK2
YOR066W	MSA1
YLR183C	TOS4
YBR038W	CHS2
YLR035C-A	YLR035C-A
YDR501W	PLM2
YMR036C	MIH1
YNR047W	FPK1
YCR065W	HCM1
YBR138C	YBR138C
YOR315W	SFG1
YOR081C	TGL5
YKR090W	PXL1
YPR174C	YPR174C
YDR093W	DNF2
YAL028W	FRT2
YJR059W	PTK2
YIL101C	XBP1
YGR035C	YGR035C
YPL121C	MEI5
YHR079C-A	SAE3
YKL197C	PEX1
YNL079C	TPM1
YLR295C	ATP14
YPL271W	ATP15
YDL004W	ATP16
YBR039W	ATP3
YDL201W	TRM8
YDR165W	TRM82
YMR264W	CUE1
YDL092W	SRP14
YGL225W	VRG4
YIR022W	SEC11
YJR010C-A	SPC1
YDR483W	KRE2
YIL111W	COX5B
YMR256C	COX7
YLR395C	COX8
YDR011W	SNQ2
YGR284C	ERV29
YCL001W	RER1
YKL140W	TGL1
YBR177C	EHT1
YKL094W	YJU3
YGL038C	OCH1
YGR255C	COQ6
YAL019W	FUN30
YDR252W	BTT1
YAL061W	BDH2
YAL060W	BDH1
YAR071W	PHO11
YBR093C	PHO5
YMR072W	ABF2
YOR058C	ASE1
YBR215W	HPC2
YPR031W	NTO1
YBL067C	UBP13
YBR030W	RKM3
YLR244C	MAP1
YDR059C	UBC5
YDL130W	RPP1B
YBR094W	PBY1
YBR159W	IFA38
YJL123C	MTC1
YBR169C	SSE2
YBR218C	PYC2
YGL062W	PYC1
YBR229C	ROT2
YDR221W	GTB1
YBR268W	MRPL37
YDL202W	MRPL11
YCR043C	YCR043C
YPL173W	MRPL40
YCR076C	FUB1
YLR139C	SLS1
YBR283C	SSH1
YKL054C	DEF1
YDL182W	LYS20
YCR016W	YCR016W
YDR022C	ATG31
YOL063C	CRT10
YDR141C	DOP1
YPR035W	GLN1
YPL154C	PEP4
YDR353W	TRR1
YHR106W	TRR2
YDR357C	CNL1
YHR065C	RRP3
YDR397C	NCB2
YDR453C	TSA2
YPR169W	JIP5
YDR502C	SAM2
YDR515W	SLF1
YDR517W	GRH1
YDL099W	BUG1
YJL179W	PFD1
YGL079W	KXD1
YLR408C	BLS1
YER048W-A	ISD11
YKL192C	ACP1
YDR494W	RSM28
YNL081C	SWS2
YER078C	ICP55
YDR226W	ADK1
YER086W	ILV1
YER098W	UBP9
YCR073W-A	SOL2
YDR475C	JIP4
YLR028C	ADE16
YGL181W	GTS1
YMR086W	SEG1
YFL044C	OTU1
YKR058W	GLG1
YPR184W	GDB1
YFR048W	RMD8
YGL014W	PUF4
YGL141W	HUL5
YGL108C	YGL108C
YGL110C	CUE3
YKR023W	YKR023W
YGL125W	MET13
YPL023C	MET12
YKL023W	YKL023W
YDL176W	YDL176W
YFR053C	HXK1
YGR071C	ENV11
YNR024W	MPP6
YMR031C	EIS1
YJR011C	YJR011C
YGR170W	PSD2
YNL264C	PDR17
YGR206W	MVB12
YGR237C	YGR237C
YIL154C	IMP2
YHL029C	OCA5
YCR095C	OCA4
YDR312W	SSF2
YHR131C	YHR131C
YHR146W	CRP1
YMR297W	PRC1
YGR256W	GND2
YHR204W	MNL1
YIL051C	MMF1
YIL091C	UTP25
YIL098C	FMC1
YIL135C	VHS2
YIL137C	TMA108
YGR204W	ADE3
YIL161W	YIL161W
YJL070C	YJL070C
YJL146W	IDS2
YJL155C	FBP26
YJR047C	ANB1
YPR045C	THP3
YJR109C	CPA2
YOR303W	CPA1
YKL047W	ANR2
YKL056C	TMA19
YKL078W	DHR2
YGR251W	NOP19
YKR027W	BCH2
YKR071C	DRE2
YPR048W	TAH18
YKR092C	SRP40
YLL002W	RTT109
YNL246W	VPS75
YLL027W	ISA1
YKL040C	NFU1
YLR022C	SDO1
YNL163C	RIA1
YMR120C	ADE17
YNL072W	RNH201
YJL130C	URA2
YLR239C	LIP2
YAL044C	GCV3
YPL226W	NEW1
YOR173W	DCS2
YOR304C-A	BIL1
YLR333C	RPS25B
YLR354C	TAL1
YGR043C	NQM1
YLR373C	VID22
YLR407W	YLR407W
YPL166W	ATG29
YML017W	PSP2
YGL068W	MNP1
YMR014W	BUD22
YGR271C-A	EFG1
YMR079W	SEC14
YHR076W	PTC7
YGL242C	YGL242C
YCR047C	BUD23
YMR169C	ALD3
YMR170C	ALD2
YMR173W	DDR48
YDL066W	IDP1
YDL048C	STP4
YJR139C	HOM6
YNR022C	MRPL50
YEL050C	RML2
YMR214W	SCJ1
YMR259C	TRM732
YNL085W	MKT1
YNL104C	LEU4
YOR108W	LEU9
YNL155W	CUZ1
YNL162W	RPL42A
YNL177C	MRPL22
YNL255C	GIS2
YNR034W	SOL1
YNR036C	MRPS12
YOL088C	MPD2
YPR117W	YPR117W
YBR137W	YBR137W
YOR142W	LSC1
YGR244C	LSC2
YOR168W	GLN4
YNL015W	PBI2
YOR196C	LIP5
YPL009C	TAE2
YPL105C	SYH1
YPL144W	POC4
YLR021W	IRC25
YPL160W	CDC60
YPL231W	FAS2
YKL182W	FAS1
YNL265C	IST1
YBR166C	TYR1
YCR003W	MRPL32
YDR169C	STB3
YJL052W	TDH1
YOR133W	EFT1
YDR532C	KRE28
YOR293W	RPS10A
YMR100W	MUB1
YJL023C	PET130
YLR312W-A	MRPL15
YML106W	URA5
YMR271C	URA10
YMR098C	ATP25
YMR064W	AEP1
YNL286W	CUS2
YOR164C	GET4
YOR322C	LDB19
YPR116W	RRG8
YDR065W	RRG1
YLL033W	IRC19
YLR091W	GEP5
YDL055C	PSA1
YDL112W	TRM3
YFL045C	SEC53
YLR153C	ACS2
YKL104C	GFA1
YKL029C	MAE1
YGL167C	PMR1
YOR352W	TFB6
YGL031C	RPL24A
YKL157W	APE2
YPL206C	PGC1
YJL111W	CCT7
YNL212W	VID27
YPR112C	MRD1
YDL018C	ERP3
YHR110W	ERP5
YPL061W	ALD6
YHR019C	DED81
YHR020W	YHR020W
YDR012W	RPL4B
YMR142C	RPL13B
YMR194W	RPL36A
YGL234W	ADE5,7
YMR230W	RPS10B
YHL015W	RPS20
YPL143W	RPL33A
YDL075W	RPL31A
YLR029C	RPL15A
YER139C	RTR1
YJL191W	RPS14B
YLR048W	RPS0B
YFL034W	YFL034W
YBR121C	GRS1
YMR121C	RPL15B
YHR128W	FUR1
YKL152C	GPM1
YJL099W	CHS6
YOR299W	BUD7
YJR132W	NMD5
YDR068W	DOS2
YLR172C	DPH5
YDL033C	SLM3
DMEL_CG2038	CSN7
DMEL_CG9556	alien
YML107C	PML39
YIL009C-A	EST3
YLR410W	VIP1
YMR200W	ROT1
YGL018C	JAC1
YPL176C	TRE1
YMR163C	INP2
YNL123W	NMA111
YMR058W	FET3
YER145C	FTR1
YPR075C	OPY2
SPCC4F11.02	ptc1
SPAC24B11.06C	sty1
SPBC216.05	rad3
SPAC9E9.08	rad26
SPCC1259.13	chk1
SPCC18B5.11C	cds1
SPCC4G3.05C	mus81
SPAC821.12	orb6
SPCC970.04C	mob2
YKL062W	MSN4
YOL039W	RPP2A
YBL006C	LDB7
YLR344W	RPL26A
DMEL_CG9151	acj6
DMEL_CG10037	vvl
DMEL_CG8573	su(Hw)
DMEL_CG32491	mod(mdg4)
DMEL_CG3504	inaD
DMEL_CG7875	trp
DMEL_CG3936	N
DMEL_CG16901	sqd
DMEL_CG10377	Hrb27C
DMEL_CG12749	Hrb87F
DMEL_CG9983	Hrb98DE
DMEL_CG6203	Fmr1
DMEL_CG7439	AGO2
DMEL_CG6671	AGO1
DMEL_CG4792	Dcr-1
DMEL_CG5263	smg
DMEL_CG5595	Sce
DMEL_CG3134	ord
DMEL_CG30149	rig
DMEL_CG33183	Hr46
DMEL_CG4380	usp
DMEL_CG11502	svp
DMEL_CG1765	EcR
DMEL_CG13387	emb
DMEL_CG3820	Nup214
DMEL_CG5444	Taf4
DMEL_CG17603	Taf1
DMEL_CG11561	smo
DMEL_CG1708	cos
DMEL_CG3848	trr
DMEL_CG4919	Gclm
DMEL_CG2259	Gclc
DMEL_CG4817	Ssrp
DMEL_CG10701	Moe
DMEL_CG1828	dre4
DMEL_CG10572	Cdk8
DMEL_CG2411	ptc
DMEL_CG5504	l(2)tid
DMEL_CG8418	Ric
DMEL_CG4141	Pi3K92E
DMEL_CG2699	Pi3K21B
DMEL_CG4550	ninaE
DMEL_CG18402	InR
DMEL_CG10718	neb
DMEL_CG14941	esc
DMEL_CG5109	Pcl
DMEL_CG8013	Su(z)12
DMEL_CG6502	E(z)
DMEL_CG6518	inaC
DMEL_CG7471	Rpd3
DMEL_CG3620	norpA
DMEL_CG7100	CadN
DMEL_CG3169	Spt3
DMEL_CG6474	e(y)1
DMEL_CG33554	Nipped-A
DMEL_CG43663	Ada2a
DMEL_CG2859	Taf10
DMEL_CG17228	pros
DMEL_CG12249	mira
DMEL_CG7771	sim
DMEL_CG11987	tgo
DMEL_CG42865	trh
DMEL_CG1560	mys
DMEL_CG8095	scb
DMEL_CG10637	Nak
DMEL_CG3779	numb
DMEL_CG4236	Caf1
DMEL_CG8625	Iswi
DMEL_CG5020	CLIP-190
DMEL_CG5695	jar
DMEL_CG1775	Med
DMEL_CG1783	Slip1
DMEL_CG10693	slo
DMEL_CG43756	Slob
DMEL_CG3954	csw
DMEL_CG1044	dos
DMEL_CG7793	Sos
DMEL_CG9695	Dab
DMEL_CG18085	sev
DMEL_CG2647	per
DMEL_CG2048	dco
DMEL_CG4634	Nurf-38
DMEL_CG6556	cnk
DMEL_CG2845	phl
DMEL_CG5814	CycB3
DMEL_CG6494	h
DMEL_CG12283	kek1
DMEL_CG10079	Egfr
DMEL_CG17870	14-3-3zeta
DMEL_CG1966	Acf1
DMEL_CG10295	Pak
DMEL_CG10610	ECSIT
DMEL_CG15862	Pka-R2
DMEL_CG13388	Akap200
DMEL_CG12230	car
DMEL_CG3093	dor
DMEL_CG8416	Rho1
DMEL_CG9774	Rok
DMEL_CG8208	MBD-like
DMEL_CG4201	ird5
DMEL_CG4494	smt3
DMEL_CG2956	twi
DMEL_CG5123	W
DMEL_CG12284	th
DMEL_CG4319	rpr
DMEL_CG7788	Ice
DMEL_CG8091	Nc
DMEL_CG18740	mor
DMEL_CG7803	z
DMEL_CG5942	brm
DMEL_CG7055	dalao
DMEL_CG6546	Bap55
DMEL_CG6884	MED11
DMEL_CG7957	MED17
DMEL_CG9473	MED6
DMEL_CG3034	MED22
DMEL_CG17183	MED30
DMEL_CG8609	MED4
DMEL_CG5748	Hsf
DMEL_CG31256	Brf
DMEL_CG7562	Trf
DMEL_CG13399	Chrac-14
DMEL_CG15736	Chrac-16
DMEL_CR31400	Hsromega
DMEL_CG8293	Iap2
DMEL_CG1274	Jafrac2
DMEL_CG16910	key
DMEL_CG4170	vig
DMEL_CG3658	CDC45L
DMEL_CG1616	dpa
DMEL_CG4063	ebi
DMEL_CG5637	nos
DMEL_CG12021	Patj
DMEL_CG6383	crb
DMEL_CG7726	RpL11
DMEL_CG3157	gammaTub23C
DMEL_CG3917	Grip84
DMEL_CG10988	Grip91
DMEL_CG5688	Grip163
DMEL_CG6315	fl(2)d
DMEL_CG7935	msk
DMEL_CG10719	brat
DMEL_CG18009	Trf2
DMEL_CG5838	Dref
DMEL_CG3166	aop
DMEL_CG15085	edl
DMEL_CG17077	pnt
DMEL_CG13521	robo
DMEL_CG43758	sli
DMEL_CG9765	tacc
DMEL_CG18582	mbt
DMEL_CG12530	Cdc42
DMEL_CG12225	Spt6
DMEL_CG3931	Rrp4
DMEL_CG7292	Rrp6
DMEL_CG8601	mus312
DMEL_CG1034	bcd
DMEL_CG6046	Bin1
DMEL_CG4824	BicC
DMEL_CG10868	orb
DMEL_CG32443	Pc
DMEL_CG31762	aret
DMEL_CG17484	p120ctn
DMEL_CG3722	shg
DMEL_CG8912	Psi
DMEL_CG8749	snRNP-U1-70K
DMEL_CG2671	l(2)gl
DMEL_CG32346	E(bx)
DMEL_CG4057	tamo
DMEL_CG7815	Ran-like
DMEL_CG1404	Ran
DMEL_CG10385	msl-1
DMEL_CG7103	Pvf1
DMEL_CG8222	Pvr
DMEL_CG17348	drl
DMEL_CG6407	Wnt5
DMEL_CG11312	insc
DMEL_CG42278	corn
DMEL_CG3653	kirre
DMEL_CG32096	rols
DMEL_CG32717	sdt
DMEL_CG44746	rdgC
DMEL_CG1200	Aplip1
DMEL_CG4353	hep
DMEL_CG7727	Appl
DMEL_CG2041	lgs
DMEL_CG11518	pygo
YGR028W	MSP1
YIL167W	SDL1
YML048W	GSF2
YIL053W	GPP1
YCR075C	ERS1
YLR307W	CDA1
YKL168C	KKQ8
YNL101W	AVT4
YPR091C	NVJ2
YMR184W	ADD37
YBR285W	YBR285W
YJL108C	PRM10
YOL130W	ALR1
YHL024W	RIM4
YPL077C	YPL077C
YKL116C	PRR1
YDR266C	HEL2
YMR291W	TDA1
YNL157W	IGO1
YPL026C	SKS1
YJR049C	UTR1
YPR042C	PUF2
YHR133C	NSG1
YHR214C-C	YHR214C-C
YMR196W	YMR196W
YLR133W	CKI1
YNL154C	YCK2
YPL141C	FRK1
YNL247W	YNL247W
SPBC1289.03C	spi1
SPBC26H8.10	dis3
SPBC557.03C	pim1
RP1-37E16.3	GGA1
YKL090W	CUE2
YNR009W	NRM1
YDR014W-A	HED1
YCL044C	MGR1
YPR024W	YME1
YOL027C	MDM38
YPR125W	YLH47
YGL017W	ATE1
YOR073W	SGO1
YBR201W	DER1
YIL042C	PKP1
YGR148C	RPL24B
YDR339C	FCF1
YLR051C	FCF2
YOR095C	RKI1
YBR070C	ALG14
YGL047W	ALG13
YJL178C	ATG27
YHR181W	SVP26
A-152E5.7	POLR2C
YDR057W	YOS9
YHL003C	LAG1
YJL165C	HAL5
YIL010W	DOT5
YOR357C	SNX3
RP3-465G10.1	ATP7A
RP11-327P2.1	ATP7B
YBR237W	PRP5
YNL323W	LEM3
YCR094W	CDC50
YER166W	DNF1
YLR361C	DCR2
